date,count,bucket,word,wordsmallcaps,average,industry,atv,
01/01/05,69.40,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/05,65.18,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/05,74.87,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/05,70.71,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/05,77.52,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/05,73.72,Supermarkets,Supermarkets,supermarkets,below,offline,,
07/01/05,73.96,Supermarkets,Supermarkets,supermarkets,below,offline,,
08/01/05,76.39,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/05,70.66,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/05,74.47,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/05,78.56,Supermarkets,Supermarkets,supermarkets,below,offline,,
12/01/05,100.18,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/06,70.74,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/06,64.72,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/06,71.46,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/06,70.49,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/06,77.71,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/06,76.58,Supermarkets,Supermarkets,supermarkets,below,offline,,
07/01/06,79.56,Supermarkets,Supermarkets,supermarkets,below,offline,,
08/01/06,73.32,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/06,70.26,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/06,77.01,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/06,78.66,Supermarkets,Supermarkets,supermarkets,below,offline,,
12/01/06,100.91,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/07,75.16,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/07,66.50,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/07,73.98,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/07,79.17,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/07,77.39,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/07,77.04,Supermarkets,Supermarkets,supermarkets,below,offline,,
07/01/07,82.26,Supermarkets,Supermarkets,supermarkets,below,offline,,
08/01/07,77.81,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/07,73.91,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/07,86.48,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/07,102.40,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/07,132.54,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/08,85.03,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/08,84.86,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/08,95.54,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/08,88.55,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/08,95.11,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/08,97.06,Supermarkets,Supermarkets,supermarkets,below,offline,,
07/01/08,94.38,Supermarkets,Supermarkets,supermarkets,below,offline,,
08/01/08,89.47,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/08,95.30,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/08,94.83,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/08,95.60,Supermarkets,Supermarkets,supermarkets,below,offline,,
12/01/08,135.70,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/09,84.88,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/09,81.97,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/09,96.27,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/09,94.67,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/09,95.27,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/09,101.29,Supermarkets,Supermarkets,supermarkets,above,offline,,
07/01/09,98.30,Supermarkets,Supermarkets,supermarkets,below,offline,,
08/01/09,88.47,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/09,99.62,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/09,97.06,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/09,109.66,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/09,137.37,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/10,86.44,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/10,85.34,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/10,102.73,Supermarkets,Supermarkets,supermarkets,above,offline,,
04/01/10,98.46,Supermarkets,Supermarkets,supermarkets,below,offline,,
05/01/10,96.76,Supermarkets,Supermarkets,supermarkets,below,offline,,
06/01/10,109.49,Supermarkets,Supermarkets,supermarkets,above,offline,,
07/01/10,100.94,Supermarkets,Supermarkets,supermarkets,above,offline,,
08/01/10,99.83,Supermarkets,Supermarkets,supermarkets,below,offline,,
09/01/10,96.00,Supermarkets,Supermarkets,supermarkets,below,offline,,
10/01/10,98.46,Supermarkets,Supermarkets,supermarkets,below,offline,,
11/01/10,116.16,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/10,140.12,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/11,97.82,Supermarkets,Supermarkets,supermarkets,below,offline,,
02/01/11,92.72,Supermarkets,Supermarkets,supermarkets,below,offline,,
03/01/11,101.63,Supermarkets,Supermarkets,supermarkets,above,offline,,
04/01/11,111.27,Supermarkets,Supermarkets,supermarkets,above,offline,,
05/01/11,108.99,Supermarkets,Supermarkets,supermarkets,above,offline,,
06/01/11,112.12,Supermarkets,Supermarkets,supermarkets,above,offline,,
07/01/11,112.30,Supermarkets,Supermarkets,supermarkets,above,offline,,
08/01/11,117.45,Supermarkets,Supermarkets,supermarkets,above,offline,,
09/01/11,109.96,Supermarkets,Supermarkets,supermarkets,above,offline,,
10/01/11,117.42,Supermarkets,Supermarkets,supermarkets,above,offline,,
11/01/11,124.10,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/11,156.73,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/12,108.56,Supermarkets,Supermarkets,supermarkets,above,offline,,
02/01/12,103.94,Supermarkets,Supermarkets,supermarkets,above,offline,,
03/01/12,88.88,Supermarkets,Supermarkets,supermarkets,below,offline,,
04/01/12,117.26,Supermarkets,Supermarkets,supermarkets,above,offline,,
05/01/12,119.74,Supermarkets,Supermarkets,supermarkets,above,offline,,
06/01/12,115.55,Supermarkets,Supermarkets,supermarkets,above,offline,,
07/01/12,124.60,Supermarkets,Supermarkets,supermarkets,above,offline,,
08/01/12,119.24,Supermarkets,Supermarkets,supermarkets,above,offline,,
09/01/12,114.84,Supermarkets,Supermarkets,supermarkets,above,offline,,
10/01/12,128.25,Supermarkets,Supermarkets,supermarkets,above,offline,,
11/01/12,134.22,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/12,170.24,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/13,113.07,Supermarkets,Supermarkets,supermarkets,above,offline,,
02/01/13,107.80,Supermarkets,Supermarkets,supermarkets,above,offline,,
03/01/13,120.11,Supermarkets,Supermarkets,supermarkets,above,offline,,
04/01/13,106.12,Supermarkets,Supermarkets,supermarkets,above,offline,,
05/01/13,127.51,Supermarkets,Supermarkets,supermarkets,above,offline,,
06/01/13,121.26,Supermarkets,Supermarkets,supermarkets,above,offline,,
07/01/13,137.73,Supermarkets,Supermarkets,supermarkets,above,offline,,
08/01/13,124.17,Supermarkets,Supermarkets,supermarkets,above,offline,,
09/01/13,128.01,Supermarkets,Supermarkets,supermarkets,above,offline,,
10/01/13,127.35,Supermarkets,Supermarkets,supermarkets,above,offline,,
11/01/13,137.87,Supermarkets,Supermarkets,supermarkets,above,offline,,
12/01/13,171.00,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/14,116.42,Supermarkets,Supermarkets,supermarkets,above,offline,,
02/01/14,110.21,Supermarkets,Supermarkets,supermarkets,above,offline,,
03/01/14,127.56,Supermarkets,Supermarkets,supermarkets,above,offline,,
04/01/14,127.30,Supermarkets,Supermarkets,supermarkets,above,offline,,
01/01/05,33.18,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/05,33.80,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/05,38.60,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/05,34.45,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/05,39.89,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
06/01/05,37.12,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
07/01/05,41.70,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/05,40.21,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/05,38.36,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/05,37.63,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/05,43.12,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
12/01/05,57.34,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
01/01/06,35.26,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/06,34.82,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/06,40.84,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/06,39.88,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/06,45.95,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
06/01/06,45.39,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
07/01/06,47.03,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/06,42.92,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/06,44.02,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/06,52.19,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/06,55.36,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
12/01/06,75.81,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
01/01/07,39.72,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/07,40.74,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/07,46.72,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/07,46.55,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/07,46.82,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
